Pos,Art.-NR,Bezeichnung,,Koll,"Anzahl
Stück","Stück
Price",Rabatt,MwSt,Betrag,Stregkode
1,26180370,DOVGAN Gezuck. Kondensmilcherzeugnis Karamell 370 g a,,5,60,"1,140","0,00%","0,00%","68,40",4032549035850
,,12 DS/Kr,,,,,,,,
2,26099370,"DOVGAN ""sgushenka"" Karamell 370g a 12 PG/Kr",,3,36,"0,930","0,00%","0,00%","33,48",4032549034440
3,26190370,"DOVGAN gezuckerte Kondensmilch, 8,5% Fett 370g a 12 DS/Kr",,2,24,"1,060","0,00%","0,00%","25,44",4032549031678
4,26051000,"DOVGAN gezuckerte Kondensmilch, 8%
Fett 1kg a 6 DS/Kr",,5,30,"2,750","0,00%","0,00%","82,50",4032549030589
5,26109480,"DOVGAN gezuckerte Kondensmilch 8,5%
Fett, 480g a 10 PET/Kr",,5,50,"1,400","0,00%","0,00%","70,00",4032549035874
6,26170330,"8Panda Gezuckerte Kondensmilch 8,5% Fett. 330g a 10 FL/Kr",,3,30,"0,960","0,00%","0,00%","28,80",Ikke fundet
7,26080370,"DOVGAN ""sgushenka"" 370g a 24 DS/Kr",,1,24,"0,850","0,00%","0,00%","20,40",4032549034426
8,28060500,"DOVGAN Hafergebäck mit Rosinen, 500g a 12 Beutel",,2,24,"1,190","0,00%","0,00%","28,56",4032549000452
9,99790500,SOJUS Hafergebäck 500g a  12 Beutel,,1,12,"1,090","0,00%","0,00%","13,08",4260298111772
10,28010500,DOVGAN Kringelgebäck mit Vanillegeschmack 500g a 12 St/Krt,,2,24,"1,130","0,00%","0,00%","27,12",4840008000987
11,28040250,"DOVGAN Mini-Kringelgebäck mit Mohn,
250 g a 20 Beute",,3,60,"0,700","0,00%","0,00%","42,00",4032549003309
12,27010400,"DOVGAN ""Halva"" aus
Sonnenblumenkernen 400g a 16 St/Kr",,1,16,"1,230","0,00%","0,00%","19,68",4840064000105
13,27140200,DOVGAN Family Sonnenblumenhalva 200g a 10 PG/Kr,,1,10,"1,140","0,00%","0,00%","11,40",4032549033115
14,27130200,DOVGAN Family Erdnusshalva 200g a 10 PG/Kr,,1,10,"1,130","0,00%","0,00%","11,30",4032549033092
15,20130200,DOVGAN Bely Medwed Waffelkonfekt mit Mandel-Erdnuss-Creme 200g a 10 PG/Kr,,1,10,"1,060","0,00%","0,00%","10,60",4032549032941
16,20140200,"DOVGAN Racki Erdnusskaramellen 200g
a 12 PG/Kr",,1,12,"0,750","0,00%","0,00%","9,00",4032549032927
17,20150200,"DOVGAN Barbaris Karamellen mit
Berberitzengeschmack 200g a 12 PG/Kr",,1,12,"0,880","0,00%","0,00%","10,56",4032549032897
18,20160200,DOVGAN Krasni Mak Haselnusskonfekt 205g a 11 PG/Kr,,1,11,"1,220","0,00%","0,00%","13,42",4032549032972
19,20170200,DOVGAN Lastochka Kakaokonfekt 205g a 11 PG/Kr,,1,11,"1,200","0,00%","0,00%","13,20",4032549032996
20,20180200,DOVGAN Griliage Erdnusskonfekt 200g a 11 PG/Kr,,1,11,"1,200","0,00%","0,00%","13,20",4032549033016
21,20110168,"DOVGAN Family Zefir Vanillegeschmack
168g a 10 PG/Kr",,4,40,"0,920","0,00%","0,00%","36,80",4032549032767
22,20120168,"DOVGAN Family Zefir
Erdbeeregeschmack 168g a 10 PG/Kr",,7,70,"0,920","0,00%","0,00%","64,40",4032549032873
23,28209200,"DOVGAN ""Pionier"" Waffeln mit Kakaofüllung, 200g a 10 St/Kr",,3,30,"0,810","0,00%","0,00%","24,30",4032549006195
24,27070045,DOVGAN Waffelröllchen mit Karamellcremefüllung 45g a 30 PG/Kr,,1,30,"0,400","0,00%","0,00%","12,00",4032549030527
25,20210045,DOVGAN Waffelröllchen mit Marshmallowfüllung 45g a 30 PG/Kr,,1,30,"0,400","0,00%","0,00%","12,00",4032549032781
26,23630050,DOVGAN Junior Zuckerwatte BubbleGum im Eimer 50 g a 6 PG/Kr,,5,30,"0,690","0,00%","0,00%","20,70",4032549037656
27,27030220,"Oma's Waffelschnitten mit
Kakaocremefüllung 220g a 6 PG/Kr",,2,12,"1,310","0,00%","0,00%","15,72",4032549028111
28,27029220,"DOVGAN Oma‘s  Waffelschnitten mit
Karamell-Creme-Füllung 220g a 6 PG/Kr",,3,18,"1,310","0,00%","0,00%","23,58",4032549022775
29,21740400,VESELKA Prjanyky Gebäck mit Aprikosenfüllung 400g  a 10 PG/Kr,,2,20,"0,970","0,00%","0,00%","19,40",Ikke fundet
30,24320250,"Nascha Mascha Waffelschnitten mit Milchgeschmack in Überzug,",,4,32,"1,220","0,00%","0,00%","39,04",4032549016828
,,"Familienpackung, 250g a 8 St/Kr",,,,,,,,
31,24330250,"Nascha Mascha Waffelschnitten mit Kakaogeschmack in Überzug,",,4,32,"1,220","0,00%","0,00%","39,04",4032549016842
,,"Familienpackung, 250g a 8 St/Kr",,,,,,,,
32,24350150,"Nascha Mascha Waffelschnitten mit
Kakaogeschmack ohne Überzug, 150g a",,3,42,"0,670","0,00%","0,00%","28,14",4032549016880
,,14 St/Kr,,,,,,,,
33,23610020,"DOVGAN junior Zuckerwatte BubbleGum
20g a 12 PG/Kr",,1,12,"0,280","0,00%","0,00%","3,36",4032549025967
34,23240250,Plombir Toffees 250g a 10 St/Kr,,1,10,"0,950","0,00%","0,00%","9,50",Ikke fundet
35,98170400,"""Plombir"" Milchtoffees, 400 g a 10St./Krt",,1,10,"1,380","0,00%","0,00%","13,80",4032549001480
36,23250400,Plombir Toffees Schoko 400g a 10 PG/Kr,,1,10,"1,410","0,00%","0,00%","14,10",4032549029125
37,27150050,Semki Kosinaki mit Sonnenblumenkernen 50g a 17 PG/Kr,,1,17,"0,380","0,00%","0,00%","6,46",4032549033139
38,99050300,Jolki Halva Sonnenblumenkernen 300g a 11 PG/Kr,,1,11,"1,130","0,00%","0,00%","12,43",4260298112090
39,98520130,Sojus Sesamkrokant-Riegel 130g a 18 PG/Kr,,3,54,"0,870","0,00%","0,00%","46,98",4260298111635
40,28030250,"VESELKA Mini-Kringelgebäck mit
Vanillegeschmack in Zuckerglasur, 250g",,1,20,"0,590","0,00%","0,00%","11,80",Ikke fundet
,,a 20 PG/Kr,,,,,,,,
41,98730300,"SOJUS Kringelgebäck ""Manuschka"" mit Mohn 300g a 12 St",,3,36,"0,970","0,00%","0,00%","34,92",4840008037785
42,28430250,"VESELKA Rosinengebäck 250g a 10
PG/Kr",,3,30,"0,750","0,00%","0,00%","22,50",4032549039933
43,21750400,VESELKA Prjanyky Gebäck mit Kirschfüllung 400g a 10 PG/Kr,,3,30,"0,970","0,00%","0,00%","29,10",Ikke fundet
44,28130160,Plombir Kekse mit Schokoladengeschmack 160g a 21 PG/Kr,,1,21,"0,450","0,00%","0,00%","9,45",Ikke fundet
45,28450250,VESELKA Zoo Kekse 250 g a 10 PG/Kr,,2,20,"0,770","0,00%","0,00%","15,40",4032549039971
46,28120160,Plombir Kekse mit Kondensmilchgeschmack 160g a 21,,1,21,"0,450","0,00%","0,00%","9,45",Ikke fundet
,,PG/Kr,,,,,,,,
47,28140160,"Plombir Kekse mit Karamellgeschmack
160g a 21 PG/Kr",,1,21,"0,450","0,00%","0,00%","9,45",Ikke fundet
48,28150160,Plombir Original Kekse mit Vanillegeschmack 160g a 21 PG/Kr,,1,21,"0,450","0,00%","0,00%","9,45",Ikke fundet
49,32020160,DOVGAN Riga Sprotten in Öl 160g a 36 Dosen,,1,36,"0,990","0,00%","0,00%","35,64",4032549002968
50,32300100,"DOVGAN Kieler Sprotten in Öl, 100 g a 10 St/Krt",,1,10,"0,840","0,00%","0,00%","8,40",4032549010468
51,32530250,"DOVGAN Memel Sprotten geräuchert, in
Rapsöl, 250g a 24 Glas/Kr",,1,24,"1,540","0,00%","0,00%","36,96",4032549007307
52,32900170,"DOVGAN Gourmet
Schwimmkrabbenfleisch in Aufguss, 170g",,2,24,"2,560","0,00%","0,00%","61,44",4032549009264
,,a 12 Dosen,,,,,,,,
53,43220300,"DOVGAN Family Salatmayonnaise mit
72% Fett 310ml a 24 PG/Kr",,1,24,"0,760","0,00%","0,00%","18,24",4032549036444
54,46820300,"Olympia Mustar Senfcreme 314ml/300g a
6 PG/Kr",,2,12,"0,830","0,00%","0,00%","9,96",5941466002571
55,46830750,Olympia Bors saure Suppenwürze 750ml a 6 PG/Kr,,4,24,"1,100","0,00%","0,00%","26,40",5941466014765
56,46679300,La minut Mustar de masa Senf 300g a 8 GL/Kr,,1,8,"0,800","0,00%","0,00%","6,40",5941486004142
57,41830315,VESELKA Salatmayonnaise 67% Fett 315ml a 8 PG/Kr,,2,16,"0,890","0,00%","0,00%","14,24",4032549041059
58,33030720,Cmak Malosolgurken 660g a 12 Gl/Kr,,5,60,"1,150","0,00%","0,00%","69,00",4032549002876
59,33060720,Cmak Salzdillgurken 660 g a 12 GL/Kr,,2,24,"1,180","0,00%","0,00%","28,32",4032549002029
60,33050670,"Cmak Scharfe Pfeffergurken 670 g a 12
GL/Kr",,1,12,"1,460","0,00%","0,00%","17,52",Ikke fundet
61,41010580,Cmak Salat nach Moldawischer Art 560 g a 12 GL/Kr,,1,12,"1,590","0,00%","0,00%","19,08",4032549002326
62,99820900,SOJUS Sauerkraut 900 g a 8 St,,3,24,"1,490","0,00%","0,00%","35,76",4770583205395
63,33400300,8 Panda Kimchi scharf 300 g a 6 GL/Kr,,1,6,"1,630","0,00%","0,00%","9,78",Ikke fundet
64,51031000,DOVGAN Hirse 1 kg a 10 PG/Kr,,3,30,"1,320","0,00%","0,00%","39,60",4032549002470
65,52030300,"""CMAK"" Sonnenblumenkerne, geröstet und gesalzen 300g a 20 BT/Kr",,5,100,"1,120","0,00%","0,00%","112,00",4032549004276
66,52340300,"SEMKI XXL Sonnenblumenkerne 300g a
18 PG/Kr",,5,90,"1,120","0,00%","0,00%","100,80",Ikke fundet
67,52330500,"Bazarnye XXL Sonnenblumenkerne,
geröstet 500g a 12 PG/Kr",,2,24,"2,040","0,00%","0,00%","48,96",4770266187260
68,46401000,"Boromir Boromir Malai Extra Maisgrieß, 1000 g a 10 St/Kr",,5,50,"1,160","0,00%","0,00%","58,00",5941300000800
69,29000030,DOVGAN Junior Süße Maisstäbchen mit Puderzucker 30g a 20 PG/Kr,,1,20,"0,230","0,00%","0,00%","4,60",4032549040328
70,32339160,DOVGAN Riga Sprotten in Rapsöl 160g mit transparentem Deckel a 12 DS/Kr,,3,36,"1,150","0,00%","0,00%","41,40",4032549020429
71,48201000,"Tymbark Polnisches Apfelgetränk
Kirsche, 1L a 12 St/kr",,1,12,"0,720","0,00%","0,00%","8,64",5900334000781
72,48211000,"Tymbark Polnisches Apfelgetränk Mint, 1L
a 12 St/kr",,1,12,"0,720","0,00%","0,00%","8,64",5900334000323
73,48261000,Tymbark Apfel-Wassermelone Erfrischungsgetränk 1000 ml a 12 Tetra,,1,12,"0,720","0,00%","0,00%","8,64",5900334017345
,,Packs/Krt,,,,,,,,
74,48679072,"GELLWE Galaretka mit
Erdbeergeschmack 72g a 20 PG/Kr",,1,40,"0,490","0,00%","0,00%","19,60",5900552009818
75,47339038,GELLWE Kisiel mit Kirschgeschmack 38g a 20 PG/Kr,,1,20,"0,350","0,00%","0,00%","7,00",5900552000228
76,47349038,GELLWE Kisiel mit Preiselbeergeschmack 38g a 20 PG/Kr,,1,20,"0,350","0,00%","0,00%","7,00",5900552000143
77,47729400,"Lewandowski ""Krakowskie Mleczko Style"" mit Vanillegeschmack 400g a 6 PG/Kr",,3,18,"2,250","0,00%","0,00%","40,50",Ikke fundet
78,47719400,"Lewandowski ""Krakowskie Mleczko Style""
mit Schokoladengeschmack, 400g a 6",,2,12,"2,230","0,00%","0,00%","26,76",Ikke fundet
79,47940045,Lewandowski Waffelriegel Haselnuss 45g a 24 PG/Kr,,3,72,"0,330","0,00%","0,00%","23,76",Ikke fundet
80,47950045,"Lewandowski Waffelriegel Salzkaramell
45g a 24 PG/Kr",,2,48,"0,330","0,00%","0,00%","15,84",Ikke fundet
81,49520039,"Wawel Advocat Milchschokoriegel mit
Eierlikörgeschmack 39g a 30 PG/Kr",,2,60,"0,390","0,00%","0,00%","23,40",5900102027361
82,49530038,Wawel Danusa Schokoladenriegel mit Schokoladen-Erdnussfüllung 38g a 35,,2,70,"0,390","0,00%","0,00%","27,30",5900102000142
,,PG/Kr,,,,,,,,
83,49540037,"Wawel Peanut Butter
Schokoladenpralinen mit gesalzener",,2,60,"0,390","0,00%","0,00%","23,40",5900102027446
84,48709182,"Mieszko Cherrissimo Classic 182g a 12
PG/Kr",,1,12,"1,430","0,00%","0,00%","17,16",5900353620007
85,50239260,"Tago Rurki waflowe Waffelröllchen mit
Kakaocremefüllung 260g a 24 PG/Kr",,1,24,"1,130","0,00%","0,00%","27,12",Ikke fundet
86,50810260,Tago Rurki waflowe Waffelröllchen mit Vanillecremefüllung 260g a 24 PG/Kr,,1,24,"1,130","0,00%","0,00%","27,12",5901356071025
87,48440032,"""Amki Natural"" Sesamriegel 30g a 24 St/Kr",,10,240,"0,276","0,00%","0,00%","66,24",5906948879072
88,48100180,"Skawa ""Wafelki"" Waffeln mit Kakaocreme-Füllung, 180g a 24 St/Kr",,1,24,"0,690","0,00%","0,00%","16,56",5902978060206
89,48110036,"Skawa ""Eliteski"" Waffeln mit Erdnussfüllung, 50g a 24 St/Kr",,2,48,"0,300","0,00%","0,00%","14,40",5902978040376
90,47569245,Wawel Michalki Klasyczne 245g a 12 PG/Kr,,1,12,"1,750","0,00%","0,00%","21,00",5900102025664
91,47589245,"Wawel Mieszanka Krakowska 245g a 12
PG/Kr",,1,12,"1,750","0,00%","0,00%","21,00",5900102025602
92,58440160,"Wawel FRESH & FRUITY SOUR
Geleebonbons 160g a 14 PG/Kr",,1,14,"1,280","0,00%","0,00%","17,92",Ikke fundet
93,48370330,"Wawel ""Tiki Taki"" Konfekt mit Kokos, 330g a 7 St/Kr",,1,7,"2,780","0,00%","0,00%","19,46",5900102014989
94,48380330,"Wawel ""Kasztanki"" Konfekt mit Cremefüllung, 330 g a 7 St/Kr",,1,7,"2,780","0,00%","0,00%","19,46",5900102014972
95,48499330,Wawel Krowkowe Milchpralinen mit Cremefüllung 330 g a 6 PG/Kr,,2,12,"3,090","0,00%","0,00%","37,08",5900102026128
96,48350300,"Wawel Krolewskie Schaumzuckerware
Vanille 300g a 8 PG/Kr",,1,8,"3,030","0,00%","0,00%","24,24",5900102024667
97,47710340,"Wedel ""Ptasie Mleczko""
Schaumzuckerkonfekt mit",,2,10,"3,190","0,00%","0,00%","31,90",5901588400662
98,47750250,"Wedel ""Chalwa Krolewska"" Sesam-Halva
mit Vanillegeschmack 250g a 18 St/Kr",,1,18,"1,940","0,00%","0,00%","34,92",5901588067070
99,50500190,"Jutrzenka Mella Galaretka Orangengelee
in Schokolade 190g a 24 PG/Kr",,2,48,"1,080","0,00%","0,00%","51,84",5900352001814
100,48880130,"Agrico ""Pasztet"" Geflügel-Brotaufstrich mit Tomate, 130 g a 12 St/Kr",,1,12,"0,400","0,00%","0,00%","4,80",5904075004695
101,47919156,"Agrico  ""Paprykarz Szczeciński"" Brotaufstrich 156g a 10 PG/Kr",,1,10,"0,520","0,00%","0,00%","5,20",5904075008631
102,49210400,Lewandowski Mayonnaise Sałatkowy 400ml a 8 GL/Kr,,3,24,"1,710","0,00%","0,00%","41,04",Ikke fundet
103,47200400,"Winiary ""Myjonez"" Mayonnaise 400ml a 8
St/Kr",,2,16,"2,210","0,00%","0,00%","35,36",5900085011012
104,48270175,"Roleski ""Musztarda Sarepska"" Polnischer
Senf, 175g  a 10 St/Kr",,3,30,"0,490","0,00%","0,00%","14,70",Ikke fundet
105,50000450,Kotlin Ketchup Pikantny Hot 450g a 10 St/Kr,,1,10,"1,050","0,00%","0,00%","10,50",5900385012528
106,50390300,Kucharek Würzmischung im Gewürzstreuer 300g a 10 PG/Kr,,1,10,"0,800","0,00%","0,00%","8,00",5901135040051
107,58450850,Kucharek Würzmischung Universal 850g a 5 PG/Kr,,1,5,"2,420","0,00%","0,00%","12,10",5901135043724
108,49180200,"Kucharek Polnische Gewürzmischung
200g a 20 St/Krt",,1,20,"0,490","0,00%","0,00%","9,80",Ikke fundet
109,47820085,"VIFON Lunch Box o smaku kurczaka
Instant-Nudelsuppe Huhn 85g a 8 PG/Kr",,2,16,"1,040","0,00%","0,00%","16,64",Ikke fundet
110,47771888,Krakus Barszsz Rote-Bete-Suppe 1000ml a 8 PG/Kr,,2,16,"1,110","0,00%","0,00%","17,76",Ikke fundet
111,47159500,"Lewandowski ""Fasolka po bretonsku"", mit Speck, 500g a 8 GL/Kr",,1,8,"1,370","0,00%","0,00%","10,96",Ikke fundet
112,47179500,"Lewandowski Kohlrouladen ""Golabki"" 500g a 8 GL/Kr",,1,8,"1,610","0,00%","0,00%","12,88",Ikke fundet
113,47189500,"Lewandowski ""Gulasz"" Gulascheintopf,
gemischt 500g a 8 GL/Kr",,1,8,"2,010","0,00%","0,00%","16,08",Ikke fundet
114,50539500,"Lewandowski Flaki Wolowe in Brühe
500g a 8 GL/Kr",,1,8,"1,640","0,00%","0,00%","13,12",Ikke fundet
115,49740500,"Pamapol Kuttel-Tomaten-Suppe ""Flaczki"" 500g a 8 St/Kr",,1,8,"1,690","0,00%","0,00%","13,52",Ikke fundet
116,49510500,"Pamapol Krauteintopf aus gedünstetem Sauerkraut mit Wurst, 500g a 8 St/Kr",,1,8,"1,380","0,00%","0,00%","11,04",Ikke fundet
117,48820500,Pamapol Sauerteigsuppe mit geräucherter Wurst und Meerrettich,,1,4,"1,100","0,00%","0,00%","4,40",5901874900227
,,"""Żurek z wędzoną, 500 g a 4 St/Kr",,,,,,,,
118,49260500,"Pamapol Gefülltes Kraut in Tomatensauce ""Gołąbki w sosie",,1,8,"1,360","0,00%","0,00%","10,88",Ikke fundet
,,"pomidorowym"", 500g a 8 St/Kr",,,,,,,,
119,49950500,Pamapol Klopsiki Putenbällchen in Tomatensauce 500g a 8 St/Kr,,1,8,"1,440","0,00%","0,00%","11,52",Ikke fundet
120,47010900,WaldiBen Gurken nach polnischer Art/Ogórki kartuskie 840g a 8 Gl/Kr,,2,16,"1,710","0,00%","0,00%","27,36",5902256000740
121,47680900,"WaldiBen salzgurken, eingelegt nach poln. Rezeptur, 820g a 8 Gl/Kr",,2,16,"1,670","0,00%","0,00%","26,72",5902256000559
122,47620750,"WaldiBen Faßsalzgurken, eingelegt, 770g
a 6 St/Kr",,4,24,"1,760","0,00%","0,00%","42,24",5902256005653
123,47020900,"WaldiBen Sauerkraut nach polnischer
Rezeptur, 900ml a 8 Gl/Kr",,2,16,"1,190","0,00%","0,00%","19,04",5902256000757
124,47050900,Waldiben Salat Sauerkraut 900g a 8 Gl/Kr,,2,16,"1,190","0,00%","0,00%","19,04",5902256004106
125,47040900,"WaldiBen Polnischer Salat ""Grecka"",
900g a 8 Gl/Kr",,2,16,"1,190","0,00%","0,00%","19,04",5902256001075
126,48180800,"WaldiBen Rote Bete, geschmort, 830 g a 6 GL/Kr",,4,24,"1,490","0,00%","0,00%","35,76",5902256005530
127,47030500,"WaldiBen Rote Bete nach polnischer Art,
450g a 8 Gl/Kr",,2,16,"0,870","0,00%","0,00%","13,92",5902256001006
128,49700300,"WaldiBen Rote Bete mit Meerrettich, püriert, 300g a 10 St/Kr",,2,20,"0,720","0,00%","0,00%","14,40",Ikke fundet
129,50010630,Krakus cucumbers in brine Gurken im Aufguss 630g a 6 St/Kr,,2,12,"1,450","0,00%","0,00%","17,40",Ikke fundet
130,49860500,"Krakus Ogorki eingelegte Gurken mit Chili
500g a 6 GL/Kr",,2,12,"1,420","0,00%","0,00%","17,04",5900397738058
131,50580900,Krakus Sauerkraut 900g a 6 PG/Kr,,2,12,"1,450","0,00%","0,00%","17,40",5900397737235
132,49970190,"Smak Czosnek z chili Knoblauch, eingelegt mit Chili 190g a 10 St/Krt",,1,10,"0,950","0,00%","0,00%","9,50",Ikke fundet
133,49120900,"Rolnik Polnische Gewürzgurken, 850 g  a 6 St/Kr",,2,12,"1,440","0,00%","0,00%","17,28",Ikke fundet
134,49130900,"Rolnik Schlesischer Krautsalat, 850 g  a 6
St/Kr",,2,12,"1,150","0,00%","0,00%","13,80",Ikke fundet
135,49150370,"Rolnik Rote Bete mit Meerrettich, 350 g a
6 St/Kr",,2,12,"0,880","0,00%","0,00%","10,56",5900919000489
136,49610400,"KuchniaPolska Saure Gurken im Beutel ""Ogorki kwaszone"" 700g  a 6 St/Kr",,4,24,"1,040","0,00%","0,00%","24,96",Ikke fundet
137,43470030,Kras Bananko Schoko-Bananen 30g a 36 PG/Kr,,7,252,"0,270","0,00%","0,00%","68,04",3850102127252
138,45409250,Mäida Strudelgebäck mit Feigenfüllung smokva Strudle 250g a 18 St/Kr,,1,18,"0,990","0,00%","0,00%","17,82",9006889001184
139,45480252,"Mäida Strudle Gebäck mit Fruchtfüllung
Pflaume 252g a 12 PG/Kr",,1,12,"1,150","0,00%","0,00%","13,80",8606107081441
140,43750040,SL Eurovafel Waffelwürfel 200g a 15 PG/Kr,,1,15,"0,880","0,00%","0,00%","13,20",3875000057258
141,43770200,SL ZEKA Kekse 200g a 22 PG/Kr,,1,22,"0,810","0,00%","0,00%","17,82",Ikke fundet
142,45850120,"Kandit ""Choco Banana Mini"" Schaumzuckerware 120g a 18 St/Kr",,1,18,"0,850","0,00%","0,00%","15,30",3858889862939
143,46530690,"Raureni ""Castraveti"" Salzdillgurken 690g a 6 St/Kr",,3,18,"1,800","0,00%","0,00%","32,40",5941028005002
144,46861600,"Varza Murata Weißkohlblätter in Salzlake
1600 g a 4 GL/Kr",,6,24,"3,380","0,00%","0,00%","81,12",5941863002648
145,46870680,Gogonelli Murate Grüne Tomaten in Salzlake 680g a 6 GL/Kr,,2,12,"1,280","0,00%","0,00%","15,36",5941863003881
146,46319050,"Ront Cront ""Pufuleti"" Gesalzene Maisflips 45g  a 40 St/Kr",,1,40,"0,260","0,00%","0,00%","10,40",4032549016491
147,59000320,DOVGAN Lavash Fladen 8 Stück 320g a 12 PG/Kr,,11,132,"1,170","0,00%","0,00%","154,44",4032549028890
,,,,,,IBAN DE 632005 0550 1261147696,,,,
